source_ip,timestamp,raw_url,scheme,host,port,effective_port,path,path_segments,path_depth,query_string,query_params,query_param_count,fragment,file_extension,method,status_code,user_agent,referrer,source
192.168.1.75,2026-04-07T07:48:25.288278,https://10.0.0.50/dashboard,https,10.0.0.50,,443,/dashboard,dashboard,1,,,0,,,GET,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",,pcap
10.0.0.27,2026-04-07T07:48:25.289251,http://example.com/directory?user=%2A%29%28mail%3D%2A,http,example.com,,80,/directory,directory,1,user=%2A%29%28mail%3D%2A,user=*)(mail=*,1,,,GET,,dirbuster,,pcap
172.16.0.66,2026-04-07T07:48:25.289251,http://webapp.internal/directory?username=%2A%29%28objectClass%3D%2A,http,webapp.internal,,80,/directory,directory,1,username=%2A%29%28objectClass%3D%2A,username=*)(objectClass=*,1,,,GET,,dirbuster,,pcap
10.0.0.150,2026-04-07T07:48:25.289251,http://10.0.0.50/blog/post/1,http,10.0.0.50,,80,/blog/post/1,blog;post;1,3,,,0,,,GET,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",,pcap
192.168.1.105,2026-04-07T07:48:25.290227,http://api.example.com/api/products?filter=recent&limit=10&page=1,http,api.example.com,,80,/api/products,api;products,2,filter=recent&limit=10&page=1,filter=recent;limit=10;page=1,3,,,HEAD,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,,pcap
172.16.0.41,2026-04-07T07:48:25.290227,http://secure.example.com/blog/category/tech?format=json,http,secure.example.com,,80,/blog/category/tech,blog;category;tech,3,format=json,format=json,1,,,POST,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",,pcap
10.0.0.247,2026-04-07T07:48:25.290227,https://192.168.1.100/privacy?view=list&lang=en&page=1,https,192.168.1.100,,443,/privacy,privacy,1,view=list&lang=en&page=1,view=list;lang=en;page=1,3,,,GET,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,,pcap
10.0.0.111,2026-04-07T07:48:25.291202,http://admin.example.com/login?view=list,http,admin.example.com,,80,/login,login,1,view=list,view=list,1,,,GET,,PostmanRuntime/7.35.0,,pcap
172.16.0.31,2026-04-07T07:48:25.291202,http://test-app.local/news?sort=asc&filter=recent,http,test-app.local,,80,/news,news,1,sort=asc&filter=recent,sort=asc;filter=recent,2,,,GET,,"Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",,pcap
192.168.1.122,2026-04-07T07:48:25.291202,http://admin.example.com/login?category=1',http,admin.example.com,,80,/login,login,1,category=1%27,category=1',1,,,POST,,nuclei,,pcap
172.16.0.110,2026-04-07T07:48:25.292210,http://secure.example.com/?brand=apple,http,secure.example.com,,80,/,,0,brand=apple,brand=apple,1,,,GET,,"Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",,pcap
10.0.0.195,2026-04-07T07:48:25.292210,https://test-app.local/feedback?q=%3Ca%20href%3D%27javascript%3Aalert%281%29%27%3Eclick%3C%2Fa%3E,https,test-app.local,,443,/feedback,feedback,1,q=%3Ca%20href%3D%27javascript%3Aalert%281%29%27%3Eclick%3C%2Fa%3E,q=<a href='javascript:alert(1)'>click</a>,1,,,POST,,gobuster/3.6,,pcap
192.168.1.148,2026-04-07T07:48:25.293195,http://webapp.internal/faq?to=2024-12-31,http,webapp.internal,,80,/faq,faq,1,to=2024-12-31,to=2024-12-31,1,,,POST,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",,pcap
10.0.0.22,2026-04-07T07:48:25.293195,https://test-app.local/images/logo.png?filter=recent&brand=apple,https,test-app.local,,443,/images/logo.png,images;logo.png,2,filter=recent&brand=apple,filter=recent;brand=apple,2,,png,GET,,curl/8.4.0,,pcap
172.16.0.142,2026-04-07T07:48:25.293195,http://example.com/search?username=admin%27%20AND%20%271%27%3D%271,http,example.com,,80,/search,search,1,username=admin%27%20AND%20%271%27%3D%271,username=admin' AND '1'='1,1,,,GET,,masscan/1.3,,pcap
192.168.1.5,2026-04-07T07:48:25.294171,https://api.example.com/login?order=',https,api.example.com,,443,/login,login,1,order=%27,order=',1,,,POST,,ZAP/2.14.0,,pcap
10.0.0.15,2026-04-07T07:48:25.294171,http://shop.example.com/api/orders,http,shop.example.com,,80,/api/orders,api;orders,2,,,0,,,HEAD,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,pcap
172.16.0.248,2026-04-07T07:48:25.294171,https://webapp.internal/api/fetch?uri=http%3A%2F%2F10.0.0.1%2F,https,webapp.internal,,443,/api/fetch,api;fetch,2,uri=http%3A%2F%2F10.0.0.1%2F,uri=http://10.0.0.1/,1,,,GET,,dirbuster,,pcap
192.168.1.113,2026-04-07T07:48:25.294171,http://webapp.internal/blog/post/1?limit=10&type=product,http,webapp.internal,,80,/blog/post/1,blog;post;1,3,limit=10&type=product,limit=10;type=product,2,,,GET,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,pcap
172.16.0.138,2026-04-07T07:48:25.295147,http://api.example.com/register?to=2024-12-31&user=john&from=2024-01-01,http,api.example.com,,80,/register,register,1,to=2024-12-31&user=john&from=2024-01-01,to=2024-12-31;user=john;from=2024-01-01,3,,,GET,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,pcap
10.0.0.57,2026-04-07T07:48:25.295147,http://admin.example.com/search?query=<img,http,admin.example.com,,80,/search,search,1,query=%3Cimg,query=<img,1,,,POST,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,,pcap
192.168.1.210,2026-04-07T07:48:25.296125,http://api.example.com/events?from=2024-01-01&sort=asc,http,api.example.com,,80,/events,events,1,from=2024-01-01&sort=asc,from=2024-01-01;sort=asc,2,,,GET,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,pcap
172.16.0.211,2026-04-07T07:48:25.296125,http://secure.example.com/load?doc=..0x2f..0x2f..0x2fetc/passwd,http,secure.example.com,,80,/load,load,1,doc=..0x2f..0x2f..0x2fetc%2Fpasswd,doc=..0x2f..0x2f..0x2fetc/passwd,1,,,GET,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,pcap
