source_ip,timestamp,full_url,method,host,path,query_string,fragment,status_code,user_agent,referrer,source
192.168.1.75,2026-04-07T07:48:25.288278,https://10.0.0.50/dashboard,GET,10.0.0.50,/dashboard,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",,pcap
10.0.0.27,2026-04-07T07:48:25.289251,http://example.com/directory?user=%2A%29%28mail%3D%2A,GET,example.com,/directory,user=%2A%29%28mail%3D%2A,,,dirbuster,,pcap
172.16.0.66,2026-04-07T07:48:25.289251,http://webapp.internal/directory?username=%2A%29%28objectClass%3D%2A,GET,webapp.internal,/directory,username=%2A%29%28objectClass%3D%2A,,,dirbuster,,pcap
10.0.0.150,2026-04-07T07:48:25.289251,http://10.0.0.50/blog/post/1,GET,10.0.0.50,/blog/post/1,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",,pcap
192.168.1.105,2026-04-07T07:48:25.290227,http://api.example.com/api/products?filter=recent&limit=10&page=1,HEAD,api.example.com,/api/products,filter=recent&limit=10&page=1,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,,pcap
172.16.0.41,2026-04-07T07:48:25.290227,http://secure.example.com/blog/category/tech?format=json,POST,secure.example.com,/blog/category/tech,format=json,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",,pcap
10.0.0.247,2026-04-07T07:48:25.290227,https://192.168.1.100/privacy?view=list&lang=en&page=1,GET,192.168.1.100,/privacy,view=list&lang=en&page=1,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,,pcap
10.0.0.111,2026-04-07T07:48:25.291202,http://admin.example.com/login?view=list,GET,admin.example.com,/login,view=list,,,PostmanRuntime/7.35.0,,pcap
172.16.0.31,2026-04-07T07:48:25.291202,http://test-app.local/news?sort=asc&filter=recent,GET,test-app.local,/news,sort=asc&filter=recent,,,"Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",,pcap
192.168.1.122,2026-04-07T07:48:25.291202,http://admin.example.com/login?category=1',POST,admin.example.com,/login,category=1',,,nuclei,,pcap
172.16.0.110,2026-04-07T07:48:25.292210,http://secure.example.com/?brand=apple,GET,secure.example.com,/,brand=apple,,,"Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",,pcap
10.0.0.195,2026-04-07T07:48:25.292210,https://test-app.local/feedback?q=%3Ca%20href%3D%27javascript%3Aalert%281%29%27%3Eclick%3C%2Fa%3E,POST,test-app.local,/feedback,q=%3Ca%20href%3D%27javascript%3Aalert%281%29%27%3Eclick%3C%2Fa%3E,,,gobuster/3.6,,pcap
192.168.1.148,2026-04-07T07:48:25.293195,http://webapp.internal/faq?to=2024-12-31,POST,webapp.internal,/faq,to=2024-12-31,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",,pcap
10.0.0.22,2026-04-07T07:48:25.293195,https://test-app.local/images/logo.png?filter=recent&brand=apple,GET,test-app.local,/images/logo.png,filter=recent&brand=apple,,,curl/8.4.0,,pcap
172.16.0.142,2026-04-07T07:48:25.293195,http://example.com/search?username=admin%27%20AND%20%271%27%3D%271,GET,example.com,/search,username=admin%27%20AND%20%271%27%3D%271,,,masscan/1.3,,pcap
192.168.1.5,2026-04-07T07:48:25.294171,https://api.example.com/login?order=',POST,api.example.com,/login,order=',,,ZAP/2.14.0,,pcap
10.0.0.15,2026-04-07T07:48:25.294171,http://shop.example.com/api/orders,HEAD,shop.example.com,/api/orders,,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,pcap
172.16.0.248,2026-04-07T07:48:25.294171,https://webapp.internal/api/fetch?uri=http%3A%2F%2F10.0.0.1%2F,GET,webapp.internal,/api/fetch,uri=http%3A%2F%2F10.0.0.1%2F,,,dirbuster,,pcap
192.168.1.113,2026-04-07T07:48:25.294171,http://webapp.internal/blog/post/1?limit=10&type=product,GET,webapp.internal,/blog/post/1,limit=10&type=product,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,pcap
172.16.0.138,2026-04-07T07:48:25.295147,http://api.example.com/register?to=2024-12-31&user=john&from=2024-01-01,GET,api.example.com,/register,to=2024-12-31&user=john&from=2024-01-01,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,pcap
10.0.0.57,2026-04-07T07:48:25.295147,http://admin.example.com/search?query=<img,POST,admin.example.com,/search,query=<img,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,,pcap
192.168.1.210,2026-04-07T07:48:25.296125,http://api.example.com/events?from=2024-01-01&sort=asc,GET,api.example.com,/events,from=2024-01-01&sort=asc,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,pcap
172.16.0.211,2026-04-07T07:48:25.296125,http://secure.example.com/load?doc=..0x2f..0x2f..0x2fetc/passwd,GET,secure.example.com,/load,doc=..0x2f..0x2f..0x2fetc/passwd,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,pcap
192.168.1.203,2026-04-07T07:48:25.296125,http://example.com/events,GET,example.com,/events,,,,python-requests/2.31.0,,pcap
172.16.0.155,2026-04-07T07:48:25.297132,http://admin.example.com/fetch?target=http%3A%2F%2F%5B%3A%3A1%5D%2Fadmin,GET,admin.example.com,/fetch,target=http%3A%2F%2F%5B%3A%3A1%5D%2Fadmin,,,burpsuite,,pcap
172.16.0.68,2026-04-07T07:48:25.297132,https://api.example.com/register,GET,api.example.com,/register,,,,curl/8.4.0,,pcap
172.16.0.235,2026-04-07T07:48:25.298118,http://192.168.1.100/privacy?sort=asc&format=json,GET,192.168.1.100,/privacy,sort=asc&format=json,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,,pcap
172.16.0.39,2026-04-07T07:48:25.298118,https://secure.example.com/search?query=<svg/onload=alert('XSS')>,GET,secure.example.com,/search,query=<svg/onload=alert('XSS')>,,,sqlmap/1.7.12#dev,,pcap
172.16.0.134,2026-04-07T07:48:25.298118,http://test-app.local/api/v1/status?view=list&q=laptop,POST,test-app.local,/api/v1/status,view=list&q=laptop,,,python-requests/2.31.0,,pcap
192.168.1.207,2026-04-07T07:48:25.299124,http://10.0.0.50/products?id=%27%20OR%20%27a%27%3D%27a,GET,10.0.0.50,/products,id=%27%20OR%20%27a%27%3D%27a,,,nuclei,,pcap
192.168.1.136,2026-04-07T07:48:25.299124,https://admin.example.com/api/user?user=admin%29%28%26%29,GET,admin.example.com,/api/user,user=admin%29%28%26%29,,,ZAP/2.14.0,,pcap
172.16.0.101,2026-04-07T07:48:25.299124,https://secure.example.com/products,POST,secure.example.com,/products,,,,PostmanRuntime/7.35.0,,pcap
172.16.0.26,2026-04-07T07:48:25.299124,https://10.0.0.50/search?order=-1%27%20UNION%20SELECT%201%2C2%2C3--,POST,10.0.0.50,/search,order=-1%27%20UNION%20SELECT%201%2C2%2C3--,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",,pcap
10.0.0.82,2026-04-07T07:48:25.300120,http://webapp.internal/download/../../../etc/passwd,GET,webapp.internal,/download/../../../etc/passwd,,,,masscan/1.3,,pcap
192.168.1.24,2026-04-07T07:48:25.300120,http://test-app.local/download/..%252f..%252f..%252fetc/passwd,GET,test-app.local,/download/..%252f..%252f..%252fetc/passwd,,,,burpsuite,,pcap
192.168.1.9,2026-04-07T07:48:25.301097,https://test-app.local/api/orders,HEAD,test-app.local,/api/orders,,,,python-requests/2.31.0,,pcap
172.16.0.96,2026-04-07T07:48:25.301097,http://example.com/faq?limit=10,GET,example.com,/faq,limit=10,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",,pcap
172.16.0.166,2026-04-07T07:48:25.301097,https://example.com/blog/category/tech?from=2024-01-01&order=name,HEAD,example.com,/blog/category/tech,from=2024-01-01&order=name,,,curl/8.4.0,,pcap
10.0.0.189,2026-04-07T07:48:25.301097,https://api.example.com/events?q=laptop&format=json&id=123,GET,api.example.com,/events,q=laptop&format=json&id=123,,,python-requests/2.31.0,,pcap
172.16.0.118,2026-04-07T07:48:25.302602,https://test-app.local/include?template=..%c0%af..%c0%af..%c0%afetc/passwd,GET,test-app.local,/include,template=..%c0%af..%c0%af..%c0%afetc/passwd,,,Nmap Scripting Engine,,pcap
192.168.1.188,2026-04-07T07:48:25.302602,https://10.0.0.50/api/v1/health?to=2024-12-31&id=123,HEAD,10.0.0.50,/api/v1/health,to=2024-12-31&id=123,,,"Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",,pcap
192.168.1.183,2026-04-07T07:48:25.302602,https://secure.example.com/link?return=%2F%2Fevil.com%2F%252f..,GET,secure.example.com,/link,return=%2F%2Fevil.com%2F%252f..,,,ZAP/2.14.0,,pcap
192.168.1.168,2026-04-07T07:48:25.303585,http://webapp.internal/events?order=name&id=123&user=john,GET,webapp.internal,/events,order=name&id=123&user=john,,,curl/8.4.0,,pcap
192.168.1.123,2026-04-07T07:48:25.303585,https://shop.example.com/profile,GET,shop.example.com,/profile,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",,pcap
192.168.1.49,2026-04-07T07:48:25.303585,http://10.0.0.50/register,POST,10.0.0.50,/register,,,,python-requests/2.31.0,,pcap
192.168.1.161,2026-04-07T07:48:25.304560,https://shop.example.com/register?brand=apple&q=laptop,GET,shop.example.com,/register,brand=apple&q=laptop,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,,pcap
10.0.0.136,2026-04-07T07:48:25.304560,http://shop.example.com/faq,POST,shop.example.com,/faq,,,,PostmanRuntime/7.35.0,,pcap
172.16.0.150,2026-04-07T07:48:25.304560,http://webapp.internal/api/message?message=%22%3E%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,POST,webapp.internal,/api/message,message=%22%3E%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,,,wfuzz/3.1.0,,pcap
10.0.0.142,2026-04-07T07:48:25.304560,http://api.example.com/blog/post/1?from=2024-01-01&to=2024-12-31&status=active,GET,api.example.com,/blog/post/1,from=2024-01-01&to=2024-12-31&status=active,,,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),,pcap
10.0.0.98,2026-04-07T07:48:25.305537,http://shop.example.com/lookup?exec=test|,POST,shop.example.com,/lookup,exec=test|,,,gobuster/3.6,,pcap
10.0.0.95,2026-04-07T07:48:25.305537,https://shop.example.com/include?file=..%c0%af..%c0%af..%c0%afetc/passwd,GET,shop.example.com,/include,file=..%c0%af..%c0%af..%c0%afetc/passwd,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",,pcap
192.168.1.40,2026-04-07T07:48:25.305537,https://10.0.0.50/privacy?limit=10&view=list&q=laptop,GET,10.0.0.50,/privacy,limit=10&view=list&q=laptop,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",,pcap
10.0.0.106,2026-04-07T07:48:25.305537,http://192.168.1.100/dashboard?order=name,POST,192.168.1.100,/dashboard,order=name,,,"Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",,pcap
