source_ip,timestamp,raw_url,scheme,host,port,effective_port,path,path_segments,path_depth,query_string,query_params,query_param_count,fragment,file_extension,method,status_code,user_agent,referrer,source
192.168.1.10,2026-02-27T08:01:12+00:00,/index.html,http,,,80,/index.html,index.html,1,,,0,,html,GET,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),-,apache
192.168.1.10,2026-02-27T08:01:15+00:00,/style.css,http,,,80,/style.css,style.css,1,,,0,,css,GET,200,Mozilla/5.0,http://example.com/,apache
10.0.0.55,2026-02-27T08:02:01+00:00,/admin/config.php,http,,,80,/admin/config.php,admin;config.php,2,,,0,,php,GET,403,sqlmap/1.6,-,apache
10.0.0.55,2026-02-27T08:02:03+00:00,/admin/config.php?id=1',http,,,80,/admin/config.php,admin;config.php,2,id=1%27,id=1',1,,php,GET,500,sqlmap/1.6,-,apache
10.0.0.55,2026-02-27T08:02:05+00:00,/admin/config.php?id=1,http,,,80,/admin/config.php,admin;config.php,2,id=1,id=1,1,,php,GET,500,sqlmap/1.6,-,apache
172.16.0.200,2026-02-27T08:03:44+00:00,/login,http,,,80,/login,login,1,,,0,,,POST,200,curl/7.88,-,apache
172.16.0.200,2026-02-27T08:03:45+00:00,/login,http,,,80,/login,login,1,,,0,,,POST,401,curl/7.88,-,apache
172.16.0.200,2026-02-27T08:03:46+00:00,/login,http,,,80,/login,login,1,,,0,,,POST,401,curl/7.88,-,apache
172.16.0.200,2026-02-27T08:03:47+00:00,/login,http,,,80,/login,login,1,,,0,,,POST,401,curl/7.88,-,apache
172.16.0.200,2026-02-27T08:03:48+00:00,/login,http,,,80,/login,login,1,,,0,,,POST,401,curl/7.88,-,apache
45.33.32.156,2026-02-27T08:05:00+00:00,/../../../etc/passwd,http,,,80,/etc/passwd,etc;passwd,2,,,0,,,GET,400,Nikto/2.1.6,-,apache
45.33.32.156,2026-02-27T08:05:01+00:00,/wp-login.php,http,,,80,/wp-login.php,wp-login.php,1,,,0,,php,GET,404,Nikto/2.1.6,-,apache
45.33.32.156,2026-02-27T08:05:02+00:00,/.env,http,,,80,/.env,.env,1,,,0,,,GET,404,Nikto/2.1.6,-,apache
45.33.32.156,2026-02-27T08:05:03+00:00,/phpmyadmin/index.php,http,,,80,/phpmyadmin/index.php,phpmyadmin;index.php,2,,,0,,php,GET,404,Nikto/2.1.6,-,apache
192.168.1.20,2026-02-27T08:10:00+00:00,/products,http,,,80,/products,products,1,,,0,,,GET,200,Mozilla/5.0,-,apache
192.168.1.20,2026-02-27T08:10:05+00:00,/products/item?id=42,http,,,80,/products/item,products;item,2,id=42,id=42,1,,,GET,200,Mozilla/5.0,http://example.com/products,apache
192.168.1.20,2026-02-27T08:10:10+00:00,/cart/add,http,,,80,/cart/add,cart;add,2,,,0,,,POST,200,Mozilla/5.0,http://example.com/products/item?id=42,apache
198.51.100.7,2026-02-27T08:15:00+00:00,/<script>alert(1)</script>,http,,,80,/<script>alert(1)</script>,<script>alert(1)<;script>,2,,,0,,,GET,400,python-requests/2.28,-,apache
198.51.100.7,2026-02-27T08:15:01+00:00,/?q=<img,http,,,80,/,,0,q=%3Cimg,q=<img,1,,,GET,200,python-requests/2.28,-,apache
198.51.100.7,2026-02-27T08:15:02+00:00,/search?q=%3Cscript%3Ealert%28document.cookie%29%3C%2Fscript%3E,http,,,80,/search,search,1,q=%3Cscript%3Ealert%28document.cookie%29%3C%2Fscript%3E,q=<script>alert(document.cookie)</script>,1,,,GET,200,python-requests/2.28,-,apache
