source_ip,timestamp,full_url,method,host,path,query_string,fragment,status_code,user_agent,referrer,source
192.168.1.10,2026-02-27T08:01:12+00:00,/index.html,GET,,/index.html,,,200,Mozilla/5.0 (Windows NT 10.0; Win64; x64),-,apache
192.168.1.10,2026-02-27T08:01:15+00:00,/style.css,GET,,/style.css,,,200,Mozilla/5.0,http://example.com/,apache
10.0.0.55,2026-02-27T08:02:01+00:00,/admin/config.php,GET,,/admin/config.php,,,403,sqlmap/1.6,-,apache
10.0.0.55,2026-02-27T08:02:03+00:00,/admin/config.php?id=1',GET,,/admin/config.php,id=1',,500,sqlmap/1.6,-,apache
10.0.0.55,2026-02-27T08:02:05+00:00,/admin/config.php?id=1,GET,,/admin/config.php,id=1,,500,sqlmap/1.6,-,apache
172.16.0.200,2026-02-27T08:03:44+00:00,/login,POST,,/login,,,200,curl/7.88,-,apache
172.16.0.200,2026-02-27T08:03:45+00:00,/login,POST,,/login,,,401,curl/7.88,-,apache
172.16.0.200,2026-02-27T08:03:46+00:00,/login,POST,,/login,,,401,curl/7.88,-,apache
172.16.0.200,2026-02-27T08:03:47+00:00,/login,POST,,/login,,,401,curl/7.88,-,apache
172.16.0.200,2026-02-27T08:03:48+00:00,/login,POST,,/login,,,401,curl/7.88,-,apache
45.33.32.156,2026-02-27T08:05:00+00:00,/../../../etc/passwd,GET,,/../../../etc/passwd,,,400,Nikto/2.1.6,-,apache
45.33.32.156,2026-02-27T08:05:01+00:00,/wp-login.php,GET,,/wp-login.php,,,404,Nikto/2.1.6,-,apache
45.33.32.156,2026-02-27T08:05:02+00:00,/.env,GET,,/.env,,,404,Nikto/2.1.6,-,apache
45.33.32.156,2026-02-27T08:05:03+00:00,/phpmyadmin/index.php,GET,,/phpmyadmin/index.php,,,404,Nikto/2.1.6,-,apache
192.168.1.20,2026-02-27T08:10:00+00:00,/products,GET,,/products,,,200,Mozilla/5.0,-,apache
192.168.1.20,2026-02-27T08:10:05+00:00,/products/item?id=42,GET,,/products/item,id=42,,200,Mozilla/5.0,http://example.com/products,apache
192.168.1.20,2026-02-27T08:10:10+00:00,/cart/add,POST,,/cart/add,,,200,Mozilla/5.0,http://example.com/products/item?id=42,apache
198.51.100.7,2026-02-27T08:15:00+00:00,/<script>alert(1)</script>,GET,,/<script>alert(1)</script>,,,400,python-requests/2.28,-,apache
198.51.100.7,2026-02-27T08:15:01+00:00,/?q=<img,GET,,/,q=<img,,200,python-requests/2.28,-,apache
198.51.100.7,2026-02-27T08:15:02+00:00,/search?q=%3Cscript%3Ealert%28document.cookie%29%3C%2Fscript%3E,GET,,/search,q=%3Cscript%3Ealert%28document.cookie%29%3C%2Fscript%3E,,200,python-requests/2.28,-,apache
