source_ip,timestamp,raw_url,scheme,host,port,effective_port,path,path_segments,path_depth,query_string,query_params,query_param_count,fragment,file_extension,method,status_code,user_agent,referrer,source
192.168.1.10,2026-04-07T10:15:32+05:30,/login.php?username=admin'--&password=123,http,,,80,/login.php,login.php,1,username=admin%27--&password=123,username=admin'--;password=123,2,,php,GET,200,Mozilla/5.0,-,apache
192.168.1.15,2026-04-07T10:16:01+05:30,/login,http,,,80,/login,login,1,,,0,,,POST,401,sqlmap/1.7.2,-,apache
192.168.1.20,2026-04-07T10:17:45+05:30,/product.php?id=1,http,,,80,/product.php,product.php,1,id=1,id=1,1,,php,GET,200,Mozilla/5.0,-,apache
192.168.1.25,2026-04-07T10:18:12+05:30,/search?q=<script>alert('XSS')</script>,http,,,80,/search,search,1,q=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,q=<script>alert('XSS')</script>,1,,,GET,200,Mozilla/5.0,-,apache
192.168.1.30,2026-04-07T10:19:30+05:30,/index.php?page=../../etc/passwd,http,,,80,/index.php,index.php,1,page=..%2F..%2Fetc%2Fpasswd,page=../../etc/passwd,1,,php,GET,200,Mozilla/5.0,-,apache
192.168.1.35,2026-04-07T10:20:10+05:30,/admin,http,,,80,/admin,admin,1,,,0,,,GET,403,Mozilla/5.0,-,apache
192.168.1.40,2026-04-07T10:20:15+05:30,/login,http,,,80,/login,login,1,,,0,,,POST,401,Mozilla/5.0,-,apache
192.168.1.40,2026-04-07T10:20:18+05:30,/login,http,,,80,/login,login,1,,,0,,,POST,401,Mozilla/5.0,-,apache
192.168.1.40,2026-04-07T10:20:20+05:30,/login,http,,,80,/login,login,1,,,0,,,POST,401,Mozilla/5.0,-,apache
192.168.1.45,2026-04-07T10:21:05+05:30,/upload.php,http,,,80,/upload.php,upload.php,1,,,0,,php,GET,200,Mozilla/5.0,-,apache
192.168.1.45,2026-04-07T10:21:10+05:30,/upload.php,http,,,80,/upload.php,upload.php,1,,,0,,php,POST,200,Mozilla/5.0,-,apache
192.168.1.50,2026-04-07T10:22:33+05:30,/cmd.php?cmd=ls,http,,,80,/cmd.php,cmd.php,1,cmd=ls,cmd=ls,1,,php,GET,200,Mozilla/5.0,-,apache
192.168.1.55,2026-04-07T10:23:44+05:30,/login.php?username=admin',http,,,80,/login.php,login.php,1,username=admin%27,username=admin',1,,php,GET,200,Mozilla/5.0,-,apache
192.168.1.60,2026-04-07T10:24:55+05:30,/search?q=<img,http,,,80,/search,search,1,q=%3Cimg,q=<img,1,,,GET,200,Mozilla/5.0,-,apache
192.168.1.65,2026-04-07T10:25:12+05:30,/index.php?page=../../../../windows/win.ini,http,,,80,/index.php,index.php,1,page=..%2F..%2F..%2F..%2Fwindows%2Fwin.ini,page=../../../../windows/win.ini,1,,php,GET,200,Mozilla/5.0,-,apache
192.168.1.70,2026-04-07T10:26:30+05:30,/api/user?id=1,http,,,80,/api/user,api;user,2,id=1,id=1,1,,,GET,200,Mozilla/5.0,-,apache
192.168.1.75,2026-04-07T10:27:40+05:30,/login,http,,,80,/login,login,1,,,0,,,GET,200,Mozilla/5.0,-,apache
192.168.1.75,2026-04-07T10:27:42+05:30,/login,http,,,80,/login,login,1,,,0,,,POST,401,Mozilla/5.0,-,apache
192.168.1.75,2026-04-07T10:27:44+05:30,/login,http,,,80,/login,login,1,,,0,,,POST,401,Mozilla/5.0,-,apache
192.168.1.75,2026-04-07T10:27:46+05:30,/login,http,,,80,/login,login,1,,,0,,,POST,401,Mozilla/5.0,-,apache
