source_ip,timestamp,full_url,method,host,path,query_string,fragment,status_code,user_agent,referrer,source
192.168.1.10,2026-04-07T10:15:32+05:30,/login.php?username=admin'--&password=123,GET,,/login.php,username=admin'--&password=123,,200,Mozilla/5.0,-,apache
192.168.1.15,2026-04-07T10:16:01+05:30,/login,POST,,/login,,,401,sqlmap/1.7.2,-,apache
192.168.1.20,2026-04-07T10:17:45+05:30,/product.php?id=1,GET,,/product.php,id=1,,200,Mozilla/5.0,-,apache
192.168.1.25,2026-04-07T10:18:12+05:30,/search?q=<script>alert('XSS')</script>,GET,,/search,q=<script>alert('XSS')</script>,,200,Mozilla/5.0,-,apache
192.168.1.30,2026-04-07T10:19:30+05:30,/index.php?page=../../etc/passwd,GET,,/index.php,page=../../etc/passwd,,200,Mozilla/5.0,-,apache
192.168.1.35,2026-04-07T10:20:10+05:30,/admin,GET,,/admin,,,403,Mozilla/5.0,-,apache
192.168.1.40,2026-04-07T10:20:15+05:30,/login,POST,,/login,,,401,Mozilla/5.0,-,apache
192.168.1.40,2026-04-07T10:20:18+05:30,/login,POST,,/login,,,401,Mozilla/5.0,-,apache
192.168.1.40,2026-04-07T10:20:20+05:30,/login,POST,,/login,,,401,Mozilla/5.0,-,apache
192.168.1.45,2026-04-07T10:21:05+05:30,/upload.php,GET,,/upload.php,,,200,Mozilla/5.0,-,apache
192.168.1.45,2026-04-07T10:21:10+05:30,/upload.php,POST,,/upload.php,,,200,Mozilla/5.0,-,apache
192.168.1.50,2026-04-07T10:22:33+05:30,/cmd.php?cmd=ls,GET,,/cmd.php,cmd=ls,,200,Mozilla/5.0,-,apache
192.168.1.55,2026-04-07T10:23:44+05:30,/login.php?username=admin',GET,,/login.php,username=admin',,200,Mozilla/5.0,-,apache
192.168.1.60,2026-04-07T10:24:55+05:30,/search?q=<img,GET,,/search,q=<img,,200,Mozilla/5.0,-,apache
192.168.1.65,2026-04-07T10:25:12+05:30,/index.php?page=../../../../windows/win.ini,GET,,/index.php,page=../../../../windows/win.ini,,200,Mozilla/5.0,-,apache
192.168.1.70,2026-04-07T10:26:30+05:30,/api/user?id=1,GET,,/api/user,id=1,,200,Mozilla/5.0,-,apache
192.168.1.75,2026-04-07T10:27:40+05:30,/login,GET,,/login,,,200,Mozilla/5.0,-,apache
192.168.1.75,2026-04-07T10:27:42+05:30,/login,POST,,/login,,,401,Mozilla/5.0,-,apache
192.168.1.75,2026-04-07T10:27:44+05:30,/login,POST,,/login,,,401,Mozilla/5.0,-,apache
192.168.1.75,2026-04-07T10:27:46+05:30,/login,POST,,/login,,,401,Mozilla/5.0,-,apache
