source_ip,timestamp,raw_url,scheme,host,port,effective_port,path,path_segments,path_depth,query_string,query_params,query_param_count,fragment,file_extension,method,status_code,user_agent,referrer,source
0.0.0.0,2026-04-07T16:07:06.385196,"http://evil.com,200,,404586771539391,10.0.0.2",http,"evil.com,200,,404586771539391,10.0.0.2",,80,/,,0,,,0,,,GET,,,,ipdr
0.0.0.0,2026-04-07T16:07:06.385196,"http://evil.com,200,Mozilla/5.0",http,"evil.com,200,mozilla",,80,/5.0,5.0,1,,,0,,0,GET,,,,ipdr
0.0.0.0,2026-04-07T16:07:06.385196,"http://evil.com,400,Mozilla/5.0",http,"evil.com,400,mozilla",,80,/5.0,5.0,1,,,0,,0,GET,,,,ipdr
0.0.0.0,2026-04-07T16:07:06.385196,"/index.html,200,,,10.0.0.1",http,,,80,"/index.html,200,,,10.0.0.1","index.html,200,,,10.0.0.1",1,,,0,,1,GET,,,,ipdr
0.0.0.0,2026-04-07T16:07:06.385196,"/api/v1/users,301,Mozilla/5.0",http,,,80,"/api/v1/users,301,Mozilla/5.0","api;v1;users,301,Mozilla;5.0",4,,,0,,0,GET,,,,ipdr
0.0.0.0,2026-04-07T16:07:06.385196,"/js/app.js,304,python-requests/2.31.0,,10.0.1.1",http,,,80,"/js/app.js,304,python-requests/2.31.0,,10.0.1.1","js;app.js,304,python-requests;2.31.0,,10.0.1.1",3,,,0,,1,GET,,,,ipdr
0.0.0.0,2026-04-07T16:07:06.385196,"/login,301,,404562036302425,10.1.0.1",http,,,80,"/login,301,,404562036302425,10.1.0.1","login,301,,404562036302425,10.1.0.1",1,,,0,,1,GET,,,,ipdr
0.0.0.0,2026-04-07T16:07:06.385196,"/checkout,301,Mozilla/5.0",http,,,80,"/checkout,301,Mozilla/5.0","checkout,301,Mozilla;5.0",2,,,0,,0,GET,,,,ipdr
0.0.0.0,2026-04-07T16:07:06.385196,"/css/main.css,200,PostmanRuntime/7.35.0,,10.1.0.1",http,,,80,"/css/main.css,200,PostmanRuntime/7.35.0,,10.1.0.1","css;main.css,200,PostmanRuntime;7.35.0,,10.1.0.1",3,,,0,,1,GET,,,,ipdr
0.0.0.0,2026-04-07T16:07:06.385196,"/index.html,200,Mozilla/5.0",http,,,80,"/index.html,200,Mozilla/5.0","index.html,200,Mozilla;5.0",2,,,0,,0,GET,,,,ipdr
