timestamp,source_ip,dest_ip,method,host,path,query_string,full_url,user_agent,attack_type,is_attack
2026-04-07T13:18:25.237159,192.168.1.75,10.0.0.188,GET,10.0.0.50,/dashboard,,https://10.0.0.50/dashboard,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",benign,0
2026-04-07T13:18:27.188790,10.0.0.27,172.16.0.194,GET,example.com,/directory,user=%2A%29%28mail%3D%2A,http://example.com/directory?user=%2A%29%28mail%3D%2A,dirbuster,ldap_injection,1
2026-04-07T13:18:26.767413,172.16.0.66,172.16.0.150,GET,webapp.internal,/directory,username=%2A%29%28objectClass%3D%2A,http://webapp.internal/directory?username=%2A%29%28objectClass%3D%2A,dirbuster,ldap_injection,1
2026-04-07T13:18:28.888331,10.0.0.150,192.168.1.177,GET,10.0.0.50,/blog/post/1,,http://10.0.0.50/blog/post/1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",benign,0
2026-04-07T13:18:32.857334,192.168.1.105,10.0.0.42,HEAD,api.example.com,/api/products,filter=recent&limit=10&page=1,http://api.example.com/api/products?filter=recent&limit=10&page=1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,benign,0
2026-04-07T13:18:35.186524,172.16.0.41,10.0.0.23,POST,secure.example.com,/blog/category/tech,format=json,http://secure.example.com/blog/category/tech?format=json,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Mobile/15E148 Safari/604.1",benign,0
2026-04-07T13:18:30.510051,10.0.0.247,172.16.0.59,GET,192.168.1.100,/privacy,view=list&lang=en&page=1,https://192.168.1.100/privacy?view=list&lang=en&page=1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,benign,0
2026-04-07T13:18:26.015909,10.0.0.111,172.16.0.6,GET,admin.example.com,/login,view=list,http://admin.example.com/login?view=list,PostmanRuntime/7.35.0,benign,0
2026-04-07T13:18:36.738379,172.16.0.31,192.168.1.133,GET,test-app.local,/news,sort=asc&filter=recent,http://test-app.local/news?sort=asc&filter=recent,"Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",benign,0
2026-04-07T13:18:39.436564,192.168.1.122,10.0.0.198,POST,admin.example.com,/login,category=1' AND (SELECT COUNT(*) FROM users)>0--,http://admin.example.com/login?category=1' AND (SELECT COUNT(*) FROM users)>0--,nuclei,sql_injection,1
2026-04-07T13:18:33.668238,172.16.0.110,172.16.0.65,GET,secure.example.com,/,brand=apple,http://secure.example.com/?brand=apple,"Mozilla/5.0 (Linux; Android 14; Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",benign,0
2026-04-07T13:18:46.145663,10.0.0.195,172.16.0.146,POST,test-app.local,/feedback,q=%3Ca%20href%3D%27javascript%3Aalert%281%29%27%3Eclick%3C%2Fa%3E,https://test-app.local/feedback?q=%3Ca%20href%3D%27javascript%3Aalert%281%29%27%3Eclick%3C%2Fa%3E,gobuster/3.6,xss,1
2026-04-07T13:18:38.350530,192.168.1.148,10.0.0.109,POST,webapp.internal,/faq,to=2024-12-31,http://webapp.internal/faq?to=2024-12-31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.2 Safari/605.1.15",benign,0
2026-04-07T13:18:34.671216,10.0.0.22,10.0.0.105,GET,test-app.local,/images/logo.png,filter=recent&brand=apple,https://test-app.local/images/logo.png?filter=recent&brand=apple,curl/8.4.0,benign,0
2026-04-07T13:18:52.774289,172.16.0.142,10.0.0.145,GET,example.com,/search,username=admin%27%20AND%20%271%27%3D%271,http://example.com/search?username=admin%27%20AND%20%271%27%3D%271,masscan/1.3,sql_injection,1
2026-04-07T13:18:46.226872,192.168.1.5,192.168.1.93,POST,api.example.com,/login,order=' OR '1'='1' /*,https://api.example.com/login?order=' OR '1'='1' /*,ZAP/2.14.0,sql_injection,1
2026-04-07T13:18:34.043097,10.0.0.15,172.16.0.163,HEAD,shop.example.com,/api/orders,,http://shop.example.com/api/orders,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),benign,0
2026-04-07T13:18:45.704414,172.16.0.248,172.16.0.234,GET,webapp.internal,/api/fetch,uri=http%3A%2F%2F10.0.0.1%2F,https://webapp.internal/api/fetch?uri=http%3A%2F%2F10.0.0.1%2F,dirbuster,ssrf,1
2026-04-07T13:18:41.763036,192.168.1.113,10.0.0.105,GET,webapp.internal,/blog/post/1,limit=10&type=product,http://webapp.internal/blog/post/1?limit=10&type=product,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",benign,0
2026-04-07T13:18:30.079448,172.16.0.138,10.0.0.208,GET,api.example.com,/register,to=2024-12-31&user=john&from=2024-01-01,http://api.example.com/register?to=2024-12-31&user=john&from=2024-01-01,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",benign,0
2026-04-07T13:18:48.011073,10.0.0.57,192.168.1.169,POST,admin.example.com,/search,"query=<img src=""javascript:alert('XSS')"">","http://admin.example.com/search?query=<img src=""javascript:alert('XSS')"">",Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,xss,1
2026-04-07T13:18:53.518745,192.168.1.210,10.0.0.217,GET,api.example.com,/events,from=2024-01-01&sort=asc,http://api.example.com/events?from=2024-01-01&sort=asc,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),benign,0
